timestamp,ue_rnti,dl_cqi,dl_mcs,dl_bitrate,dl_bler,ul_snr,ul_mcs,ul_bitrate,ul_bler,ul_phr,ul_bsr,nof_rach
1698341343.446,70,0.1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0,2
1698341343.538,73,5.0,5.111111,7696.202,0.0,30.290697,16.0,108658.23,0.0,40.0,0,6
1698341343.638,73,5.0,3.0,6800.0,0.0,29.641151,24.0,127920.0,0.0,40.0,0,6
1698341343.7380002,73,5.0,5.2,13633.803,0.0,29.563301,24.0,157070.42,0.0,40.0,0,6
1698341343.838,73,5.0,5.2727275,38171.43,0.0,31.424543,24.0,181600.0,0.0,40.0,0,6
1698341343.938,73,5.0,7.4166665,270000.0,0.0,26.70845,24.0,7148000.0,0.0,40.0,0,6
1698341344.04,73,5.0,7.6805553,227882.34,0.0,26.328283,24.0,6567764.5,0.0,40.0,42172,6
1698341344.138,73,5.0,7.138889,144477.61,0.0,26.322363,24.0,6123940.0,0.0,40.0,0,6
1698341344.239,73,5.0,7.131579,75040.0,0.0,26.567095,24.0,4359280.0,0.0,40.0,50668,6
1698341344.338,73,5.0,7.2352943,144634.92,0.0,26.697206,24.0,5834666.5,0.0,40.0,0,6
1698341344.4390001,73,5.0,7.5882354,120774.19,0.0,26.938005,24.0,7031096.5,0.0,40.0,60614,6
1698341344.538,73,5.0,7.4736843,171360.0,0.0,26.687183,24.0,7458480.0,0.0,40.0,0,6
1698341344.639,73,5.0,6.95,45423.727,0.0,27.010513,24.0,3911457.25,0.0,40.0,72259,6
1698341344.7380002,73,5.0,7.347826,212827.58,0.0,26.379993,24.0,8954069.0,0.0,40.0,0,6
1698341344.839,73,5.0,7.0555553,27070.705,0.0,27.012342,24.0,2331070.5,0.0,40.0,72003,6
1698341344.938,73,5.0,7.365854,210857.14,0.0,26.62202,24.0,8777143.0,0.0,40.0,0,6
1698341345.039,73,5.0,0.0,0.0,0.0,27.490747,24.0,474518.5,0.0,40.0,99804,6
1698341345.139,73,5.0,7.4175825,208880.0,0.0,26.69252,24.0,10257600.0,0.0,40.0,11738,6
1698341345.239,73,5.0,0.0,0.0,0.0,28.27697,24.0,545191.44,0.0,40.0,99804,6
1698341345.339,73,5.0,7.266667,226311.11,0.0,26.352495,24.0,10541866.0,0.0,40.0,11738,6
1698341345.438,73,5.0,8.0,36990.098,0.0,26.253902,24.0,1291009.9,0.0,0.0,0,6
1698341345.539,73,5.0,7.6216216,236465.11,0.0,26.587664,24.0,10287069.0,0.0,40.0,41916,6
1698341345.638,73,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341345.74,73,5.0,7.6266665,164198.02,0.0,26.58848,24.0,8484277.0,0.0,40.0,42428,6
1698341345.838,73,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341345.9390001,73,5.0,7.571429,226105.25,0.0,26.434786,24.0,10235368.0,0.0,40.0,72003,6
1698341346.038,73,5.0,7.6,139200.0,0.0,26.423374,24.0,5406960.0,0.0,40.0,0,6
1698341346.139,73,0.1,7.5945945,230171.42,0.0,26.487295,24.0,10317943.0,0.0,40.0,72259,6
1698341346.2380002,73,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1698341346.339,73,5.0,7.5384617,74880.0,0.0,26.483786,24.0,4359280.0,0.0,40.0,101852,6
